TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2007121	AT1G69550	protein_coding	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	N/A	defense response;signal transduction;cellular_component;ADP binding;ATP hydrolysis activity;NAD+ nucleosidase activity, cyclic ADP-ribose generating;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2032707	AT1G72840	protein_coding	NBS TIR LRR protein. It is induced in response to bacterial pathogens and overexpression results in cell death in leaves.	TNL40	positive regulation of plant-type hypersensitive response;chloroplast;cytoplasm;plant embryo bilateral stage;plant embryo cotyledonary stage;guard cell;plant embryo;plant ovule;plant sperm cell;root;seed,
Locus:2032587	AT1G72850	protein_coding	Disease resistance protein (TIR-NBS class);(source:Araport11)	TIR-NBS4;TN4	chloroplast;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;inflorescence meristem;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;stem;vascular leaf,
Locus:2032597	AT1G72950	protein_coding	Disease resistance protein (TIR-NBS class);(source:Araport11)	TIR-NBS12;TN12	cellular_component;guard cell;root;stem,
Locus:2032637	AT1G72870	protein_coding	TIR-NBS gene.	TIR-NBS5;TN5	chloroplast;guard cell;plant sperm cell;root;stem,
Locus:504956182	AT1G58848	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component;guard cell,
Locus:2118106	AT4G12010	protein_coding	Leucine-rich repeat domain (NLR) receptor. Dominant negative alleles suppress catma3 autoimmunity. Co-regulates with WRKY19 basal levels of immunity to root-knot nematodes.	DOMINANT SUPRESSOR OF CAMTA3 NUMBER 1;DSC1	defense response to bacterium;cellular_component;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2131689	AT4G27220	protein_coding	NB-ARC domain-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;mitochondrion,
Locus:2102857	AT3G46710	protein_coding	NB-ARC domain-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;cellular_component;protein binding;root,
Locus:504956483	AT3G46730	protein_coding	NB-ARC domain-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;cellular_component;guard cell,
